,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD139835,15 44 24.5028,-66 17 01.947,-6.082000000000001,-9.801,10.48,10.42,10.288,10.27,10.254000000000001
HIP1714,00 21 33.4326,-66 18 16.476,26.264,-21.155,7.37,7.36,7.365,7.395,7.395
HD135834,15 21 01.6744,-66 18 16.519,-4.17,-4.824,10.32,10.27,9.924,9.901,9.927999999999999
HIP88289,18 01 44.3982,-66 27 52.082,9.879,-16.894000000000002,8.46,8.4,8.253,8.267999999999999,8.232999999999999
HD81737,09 24 07.1447,-66 41 24.814,-12.387,11.744000000000002,9.13,9.08,8.891,8.921,8.881
HD71045,08 21 03.7291,-66 44 01.366,-5.256,10.052999999999999,9.52,9.48,9.414,9.407,9.43
HIP98527,20 00 59.1738,-66 50 43.019,26.183000000000003,-10.062999999999999,8.89,8.84,8.668,8.68,8.658999999999999
HD81142,09 20 26.3059,-67 22 14.483,-7.138999999999999,10.539000000000001,9.98,9.98,9.666,9.657,9.674
HD149220,16 38 22.6435,-67 45 59.578,-1.054,-7.704,10.34,10.28,10.27,10.257,10.22
HD74324,08 39 10.1265,-67 50 10.357,-2.5340000000000003,9.564,9.4,9.35,9.225,9.227,9.213
HIP74744,15 16 31.7741,-67 52 41.378,-10.897,-13.378,8.72,8.65,8.369,8.317,8.316
HD81701,09 23 50.2076,-67 54 28.383,-5.164,8.437999999999999,9.49,9.42,9.354,9.362,9.33
HD138195,15 34 59.6269,-68 11 10.006,-3.891,-11.845,9.05,9.05,8.922,8.964,8.948
HD81816,09 24 25.6150,-68 11 28.965,-11.494000000000002,7.899,10.17,10.1,9.932,9.929,9.904
HD96851,11 07 53.7315,-68 16 37.044,-8.166,3.6689999999999996,10.26,10.22,9.81,9.818,9.807
HIP61447,12 35 32.0121,-68 21 03.268,-12.0,-3.763,7.54,7.5,7.39,7.456,7.397
HD93285,10 44 22.2364,-68 35 11.127,-9.847000000000001,7.207000000000001,8.89,8.84,8.604,8.618,8.57
HD140430,15 48 13.8860,-68 36 57.050,-5.4910000000000005,-10.994000000000002,9.35,9.31,9.203,9.177,9.151
HD40750,05 55 02.4508,-68 39 16.370,-6.625,8.425,10.03,10.03,9.87,9.885,9.854
HD153164,17 03 16.3544,-68 50 38.176,-17.531,-14.220999999999998,8.0,7.97,7.864,7.837999999999999,7.84
HD81320,09 21 04.3374,-69 18 15.911,-17.094,20.771,8.1,8.05,7.898,7.9510000000000005,7.897
HIP90429,18 27 03.5148,-69 22 52.016,-1.109,-19.935,7.99,7.99,7.956,8.03,7.981
HD196303,20 41 06.9894,-69 31 16.505,11.762,-12.359000000000002,8.4,8.35,8.297,8.305,8.273
HD92047,10 35 30.3200,-69 49 02.752,-31.615,10.254000000000001,7.78,7.75,7.684,7.721,7.6770000000000005
HIP41451,08 27 16.7555,-70 05 36.537,-18.627,45.523999999999994,5.483,5.507000000000001,5.542000000000001,5.577999999999999,5.55
HIP33273,06 55 15.8752,-70 29 20.666,-1.074,14.168,7.04,7.06,7.028,7.037999999999999,7.032
HD145690,16 17 46.6628,-70 45 56.816,-2.9589999999999996,-4.678,9.55,9.53,9.535,9.577,9.517999999999999
HD141915,15 57 00.4527,-70 58 37.321,-12.665,-6.711,8.75,8.68,8.527999999999999,8.546,8.529
HIP83833,17 08 00.1980,-71 00 00.491,-5.191,-5.858,9.71,9.66,9.505,9.484,9.463
HD50295,06 46 12.2777,-71 01 52.775,0.932,15.686,9.13,9.07,8.937999999999999,8.937999999999999,8.918
HD195390,20 36 12.4416,-71 15 39.924,15.923,-6.724,7.63,7.64,7.597,7.6339999999999995,7.626
HD76473,08 51 33.1924,-71 17 03.104,-9.869,13.73,9.63,9.62,9.491,9.492,9.468
HD145420,16 16 48.3493,-71 43 58.414,-3.738,-9.513,9.56,9.52,9.557,9.512,9.501
HD148650,16 35 49.3413,-71 53 39.304,-17.725,-34.031,6.53,6.51,6.4479999999999995,6.454,6.455
HD139303,15 42 57.9786,-72 05 28.516,-2.889,-9.382,9.84,9.8,9.571,9.548,9.522
HD90104,10 21 02.8035,-72 21 00.088,-9.642000000000001,4.978,9.57,9.53,9.414,9.452,9.401
HD40925,05 54 56.8852,-72 21 44.542,7.89,5.834,9.86,9.86,9.891,9.882,9.87
HIP59851,12 16 23.8134,-72 36 52.195,-31.19,-16.407,6.19,6.196000000000001,6.2,6.22,6.207000000000001
HD137906,15 34 19.9320,-72 46 46.073,-11.540999999999999,-5.386,8.75,8.73,8.568,8.576,8.524
HIP55332,11 19 50.7497,-72 57 29.854,-43.324,-4.59,6.46,6.46,6.392,6.442,6.372999999999999
HD156695,17 26 14.5855,-73 09 04.672,8.216000000000001,-2.035,8.8,8.74,8.562999999999999,8.557,8.552999999999999
HD122598,14 06 35.2152,-73 13 13.211,-9.026,-7.459,9.42,9.38,9.203,9.191,9.209
HIP86664,17 42 26.8353,-73 23 34.046,-5.053999999999999,-29.342,7.31,7.31,7.32,7.362,7.31
HD113018,13 02 35.7584,-73 24 34.109,-8.527999999999999,-3.69,10.72,10.71,10.386,10.387,10.392999999999999
HD124344,14 17 10.4060,-73 41 05.546,-8.853,-4.034,9.56,9.51,9.323,9.37,9.304
HD175954,19 05 12.2942,-73 46 44.719,-5.561,-14.377,8.03,7.98,7.827000000000001,7.856,7.8260000000000005
HD114686,13 14 17.7069,-73 52 57.945,-19.204,-9.337,8.92,8.87,8.649,8.629,8.619
HD155355,17 18 36.8844,-73 54 17.244,-3.2060000000000004,-11.939,8.79,8.76,8.757,8.763,8.743
HR6373,17 16 35.6479,-74 31 58.843,-23.123,-53.751000000000005,6.224,6.227,6.209,6.234,6.22
HIP83328,17 01 50.0812,-74 56 28.661,-4.25,-16.956,9.09,9.04,8.934,8.946,8.916
phi_Oct,18 23 36.4489,-75 02 39.392,4.573,19.406,5.495,5.456,5.371,5.404,5.3629999999999995
HD138071,15 36 36.9484,-75 47 28.086,2.2,-4.3,9.73,9.7,9.45,9.47,9.408999999999999
HD185712,19 49 10.1714,-76 54 30.907,33.351,-36.217,7.16,7.1370000000000005,7.104,7.126,7.084
HD75591,08 43 36.3467,-77 02 58.317,-21.497,3.2,8.11,8.09,7.98,7.9879999999999995,7.972
HIP69380,14 12 09.9187,-77 05 30.482,-10.282,-4.641,10.3,10.23,9.969,9.953,9.941
HD142950,16 05 54.9641,-77 16 09.777,8.439,1.319,9.69,9.66,9.687999999999999,9.697000000000001,9.709
HIP100491,20 22 41.2386,-78 57 39.283,30.493000000000002,-44.07899999999999,6.64,6.63,6.59,6.62,6.597
HD70953,08 15 01.7278,-79 19 07.226,-16.448,32.86,7.01,7.02,6.984,7.04,7.019
HD89341,10 13 15.3783,-79 21 31.830,-9.03,12.405,8.65,8.6,8.274,8.307,8.26
HD108913,12 32 18.5941,-79 47 01.838,-28.743000000000002,6.292999999999999,7.16,7.09,6.9239999999999995,6.91,6.882000000000001
HIP40949,08 21 26.1285,-80 42 26.836,-21.366,29.058000000000003,9.0,8.94,8.728,8.796,8.714
HIP92928,18 56 00.0240,-80 43 40.391,9.773,-8.478,6.59,6.56,6.401,6.358,6.364
HIP28849,06 05 23.8827,-81 59 26.418,4.9030000000000005,25.344,8.33,8.29,8.192,8.235,8.207
HD36504,05 10 05.3055,-84 16 43.527,-1.4969999999999999,12.103,8.66,8.59,8.467,8.478,8.501
HD88957,09 33 04.4731,-88 38 21.428,-18.658,-3.7880000000000003,10.05,10.01,9.804,9.823,9.811
