,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD73379,08 37 19.7704,-24 18 07.191,-2.964,-2.8280000000000003,8.7,8.63,8.372,8.401,8.327
HD74064,08 40 54.1268,-24 25 01.959,-14.649000000000001,5.6370000000000005,8.99,8.99,8.838,8.817,8.804
HD70812,08 23 09.7710,-24 25 36.465,-1.13,0.579,9.33,9.31,9.237,9.257,9.24
HIP33126,06 53 55.4528,-24 32 19.515,-4.6339999999999995,1.7009999999999998,6.237,6.22,6.132999999999999,6.164,6.135
HD123426,14 08 10.1244,-24 33 51.115,-20.618000000000002,-5.152,9.8,9.76,9.607999999999999,9.621,9.591000000000001
HD63485,07 48 12.4687,-24 34 37.901,-29.865,7.381,6.81,6.83,6.849,6.92,6.876
HD145127,16 10 09.8782,-24 34 56.717,-19.562,-33.869,6.66,6.64,6.542000000000001,6.57,6.547000000000001
HD69924,08 18 22.7647,-24 36 58.316,-11.824000000000002,9.228,8.25,8.23,8.135,8.182,8.174
HD39734,05 53 28.1391,-24 39 02.196,3.319,4.533,9.2,9.15,9.105,9.094,9.068999999999999
HD184837,19 37 16.4368,-24 40 10.645,3.1460000000000004,1.476,10.2,10.13,9.668,9.658999999999999,9.629
HD37327,05 36 44.0535,-24 42 11.890,-4.4719999999999995,9.555,8.35,8.32,8.376,8.373,8.366
HD45157,06 24 48.1655,-24 49 32.747,4.55,-1.767,8.71,8.72,8.679,8.761000000000001,8.681000000000001
CPD-242786,07 44 12.5560,-24 53 02.469,-3.2289999999999996,3.45,11.57,11.54,11.446,11.440999999999999,11.431
HD201386,21 09 54.7940,-24 53 15.710,-7.622000000000001,-12.128,10.09,10.1,9.883,9.887,9.844
HIP101384,20 32 52.3599,-24 56 37.779,8.548,-43.773,6.34,6.3389999999999995,6.336,6.36,6.343
HIP93691,19 04 45.8582,-25 13 51.903,7.845,-20.438,7.15,7.09,6.881,6.877000000000001,6.862
HIP84147,17 12 13.6197,-25 15 18.522,-9.308,-47.643,6.4670000000000005,6.499,6.513,6.4910000000000005,6.52
HIP49294,10 03 41.6186,-25 19 00.193,-17.686,4.909,6.7170000000000005,6.705,6.565,6.627000000000001,6.547999999999999
HD124807,14 16 14.1881,-25 21 57.052,-15.62,-4.452,8.91,8.87,8.74,8.779,8.758
HIP28520,06 01 13.0978,-25 25 03.936,-11.838,-20.058,6.063,6.037000000000001,5.957999999999999,5.965,5.926
HD54444,07 07 50.5269,-25 28 21.820,-1.942,4.31,9.24,9.25,9.133,9.151,9.11
HD180542,19 17 56.1291,-25 32 47.532,-2.161,-9.112,10.11,10.04,9.809,9.774,9.749
HD70261,08 20 07.6732,-25 36 01.903,-4.121,-6.037999999999999,9.12,9.07,8.922,8.919,8.921
HD56235,07 15 16.6932,-25 40 35.598,-4.962,3.97,9.67,9.66,9.625,9.626,9.629
HD138813,15 35 16.1057,-25 44 02.991,-18.108,-23.543000000000003,7.37,7.3,7.159,7.18,7.172000000000001
HD58392,07 24 24.7430,-25 44 31.103,-2.2119999999999997,6.528,9.03,9.03,8.997,9.041,8.996
HD53248,07 03 20.0593,-25 52 10.312,-2.211,-0.001,9.4,9.38,9.257,9.25,9.211
